cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,Imdb Rating
UgzTZmH0k_Mf2VXlBhh4AaABAg,As a systemadmin it's nice to finally be recognised as the action heroes we clearly are.,3 weeks ago,@spacegerrit9499,UCHO9bBb56mYQePMWnye1vUA,29K,166,https://yt3.ggpht.com/RK_SV3VGnz9KrLW3gSXUTRA1gmk9YeMJ52S66BDcq_84ZYu19DcGv2Lg1wOACAhL7iCjtg9d=s88-c-k-c0x00ffffff-no-rj,False,False,1731887766.012222,TheAmateur,3
UgwsusLky-NgKYCd7l14AaABAg,"It was both funny & realistic how he tried to do the dramatic walk away as the bomb went off, but the explosion made him flinch hard. Rami always kills it",3 weeks ago,@ozboiwaddup2343,UC1ZZAjw5QlTsVNR9pH6m-ig,14K,33,https://yt3.ggpht.com/dCp3yAUe3VkAmH4eWTjO_2QcBMvWGCHdbQt9VnwlvkYNqgnJJF8tJw3cmt6Dyb119Gb6PSoHkA=s88-c-k-c0x00ffffff-no-rj,False,False,1731887766.013835,TheAmateur,3
UgxgFqKu_kaP8GALo_14AaABAg,Mr robot turned assasin,3 weeks ago,@Nobodysurvivesevenonebit,UCVA-OipGD6QJJhNe3o2rqHA,9.9K,67,https://yt3.ggpht.com/ytc/AIdro_kIoqDLNh7P1tXLCcTwiJIS-hOQpKtvHSusCsj6sjARqLU=s88-c-k-c0x00ffffff-no-rj,False,False,1731887766.015861,TheAmateur,3
Ugx4r4u0uFItBk2z_gd4AaABAg,Thank you for uploading the whole movie instead of a trailer!,2 weeks ago,@blank6184,UC3mhU6JX2vgErn1OvmUfa0g,3.2K,40,https://yt3.ggpht.com/ytc/AIdro_mvCnK-rB5sfT7lXZiz4LVutDd66FhLDCBWo-CjIDQc9aQ=s88-c-k-c0x00ffffff-no-rj,False,False,1732492566.016859,TheAmateur,3
UgwD8XsBPCkQ9YuZwW94AaABAg,Laurence Fishburne is a great mentor. He's been teaching Keanu and here a new student is coming,3 weeks ago,@tleigefer530,UCJGSzwdTHnQGvaCXNELiB9w,6.7K,29,https://yt3.ggpht.com/YVDqCZGbfOE-CbfDFvd2zStkJEN0zYkk5F_L3TU0b9U8be7xnhryjRT01EUbHK5GoF-NDWlD7Pw=s88-c-k-c0x00ffffff-no-rj,False,False,1731887766.01982,TheAmateur,3
UgxY-8ncqtGIWgeel2x4AaABAg,"""Do you ever account for the things I'm good at?""  A line that everyone of us could say.",3 weeks ago,@davidwilcox153,UC-Atac53lP9icsPNRX_4tYg,4.6K,40,https://yt3.ggpht.com/ytc/AIdro_ma3BuQSFgJ4a49Hqvzp2tTdcge7LzWUpUClu_cDw=s88-c-k-c0x00ffffff-no-rj,False,False,1731887766.025649,TheAmateur,3
Ugyy7aXRXruInmgH9rF4AaABAg,Thanks for showing the full movie,3 weeks ago,@jothishprabu8,UC10OjMPUld3U7il_xr7SEfA,1.4K,22,https://yt3.ggpht.com/ytc/AIdro_l4EHeZbwN94taUWVWzWEwWvdCjLSPIfGpp-JyI7pEFt78=s88-c-k-c0x00ffffff-no-rj,False,False,1731887766.026154,TheAmateur,3
UgxA9RK3Y2ulVEzHHNN4AaABAg,Love that he reacted physically to the explosion,3 weeks ago,@bearimo2867,UCqY68AZivHVxdQpDaBFawzg,4.5K,20,https://yt3.ggpht.com/ytc/AIdro_mE-QhB8L1svFuR6ZHYTBQNGlwaNa_p5zRmaX3k-Aw13g=s88-c-k-c0x00ffffff-no-rj,False,False,1731887766.027187,TheAmateur,3
UgzDtMGqP79xF3tsdPV4AaABAg,Thank you for basicly showing me 70% of the movie.,3 weeks ago,@Hitec_asian,UC0M5BEFi4mL_-s4bNPyl7Qg,1.1K,35,https://yt3.ggpht.com/ytc/AIdro_l2Ziehu39D9nuBYiQTxUQJq4TydwGTyVfkskWGuk_ZDp0=s88-c-k-c0x00ffffff-no-rj,False,False,1731887766.028183,TheAmateur,3
UgxjBjLxx0a0EWunW-d4AaABAg,I love how I already watched whole movie thanks to this trailer,3 weeks ago,@danidandani723,UCTnBIE7h7qmIyqpAON-DKTw,1.6K,21,https://yt3.ggpht.com/ytc/AIdro_kURcVhEQs1D7JvgixHRPuYx1NfBDiyNr20HQZFO8A=s88-c-k-c0x00ffffff-no-rj,False,False,1731887766.029182,TheAmateur,3
